event_id;event_image_path;event_name;performance_starts;performance_sold_out;event_category;ticket_type;ticket_min_price;ticket_max_price;ticket_currency;destination_id;destination_name;venue_id;venue_name;venue_address;venue_postal_code;venue_town;event_alternative_description;event_official_description;venue_phone
810355;/events/images/810355.jpg;Mae Martin: Sap;2021-10-05T19:00:00+01:00;;Comedy;Standard;18.0;20.0;GBP;17642;Manchester;52371;O2 Ritz;Whitworth Street West;M1 5NQ;Manchester;;The co-writer and star of Channel Four and Netflix sitcom Feel Good, and star of her own Netflix stand-up special, is on tour! In her brand new stand-up hour, MAE MARTIN looks at the uphill battle of trying to do the right thing in a world that sometimes seems to have lost its moral compass. With her characteristically manic self-reflection, she bounces between vice and virtue, optimism and pessimism, the urge to be our best selves versus the urge to gleefully give in to our more base instincts. But it’s not all big questions – there’s also a lot about sloths, moose, hot dogs, love, and tree sap. Along with her new Channel Four and Netflix sitcom Feel Good, Mae is a multi award winning stand-up, who’s also released two radio series for BBC Radio Four, and written the acclaimed book Can Everyone Please Calm Down? A Guide to 21st Century Sexuality.;
1468849;/events/images/1468849.jpg;Tom Houghton: Honour Tour;2021-06-20T20:30:00+01:00;;Comedy;Standard;13.0;15.0;GBP;20533;Edinburgh;1;The Stand;5 York Place;EH1 3EB;Edinburgh;;“The Honourable” Tom Houghton has been storming the comedy circuit with his hilarious stories and sharp-eyed silver spoon observations. Whether it's growing up with a Dad who is the Ex-Chief of Defense Staff, living in the Tower of London or lifting the lid on the all-boys boarding school environment. Every tale will fascinate, make you think while at the same time have you doubled over with laughter Now the total fringe sell-out, star of Comedy Central's ‘Roast Battle' and critically-acclaimed star of BBC and Channel 4 and First Dates, Tom is the ultra-privilaged master of making the seemingly unrelatable, relatable. Come and witness a rare look behind the curtain of a world known by so few. Inhabited by larger than life characters, hilarious mis-adventures and discover that true honour often lies where you'd least expect.;0131 558 7272
1498161;/events/images/1498161.jpg;Paul Foot: Swan Power;2021-11-30T19:30:00+00:00;;Comedy;Standard;30.25;99.0;GBP;16557;Nottingham;107238;Metronome;Huntingdon Street;NG1 1AR;Nottingham;;"The multi-award winning comedian presents his brand new show. Tired of the goose? Swan Power is here. Paul opens his beak and explores topics including Nanna on the rack, murdering Santas and interfering ambulance drivers (self-appointed busybodies!) Plus Billy Zane’s Valuable Diamond (c/o RMS Titanic). Live by the swan, fly by the swan. ""Like a rare exotic bird, he's special"" The Daily Express ""Sublime, original, brilliant"" The Independent ""Something of a comic genius"" The Sydney Morning Herald Paul Foot has made numerous television and radio appearances, the most recent of which include ""8 Out of 10 Cats Does Countdown"" Channel 4, ABC Australia's ""Melbourne Gala"", ""Breaking The News"" BBC Radio Scotland and ""Dave News"" for Dave at the 2019 Edinburgh Fringe. In 2019 he also made a triumphant debut at Glastonbury and played the comedy tents of many of the most prestigious summer festivals. Excerpts of his many much-loved appearances on ""Never Mind The Buzzcocks"" have garnered over a million views on YouTube. A BBC New Comedy Award and Daily Telegraph Open Mic winner, he has been nominated twice for the Barry Award at The Melbourne Comedy Festival and has been voted Best of The Fest International and Best International Act at the Sydney and Perth Comedy Festivals respectively. “An exquisite symphony of jubilant madness” The Melbourne Age ""It's risky to call someone unique but Paul Foot is pretty close"" Three Weeks ""A wonderful ear for language and a talent for creating glorious spirals of absurdity out of the simplest of starting points"" The Guardian";
1498161;/events/images/1498161.jpg;Paul Foot: Swan Power;2021-04-30T19:30:00+01:00;;Comedy;Standard;30.25;99.0;GBP;16557;Nottingham;107238;Metronome;Huntingdon Street;NG1 1AR;Nottingham;;"The multi-award winning comedian presents his brand new show. Tired of the goose? Swan Power is here. Paul opens his beak and explores topics including Nanna on the rack, murdering Santas and interfering ambulance drivers (self-appointed busybodies!) Plus Billy Zane’s Valuable Diamond (c/o RMS Titanic). Live by the swan, fly by the swan. ""Like a rare exotic bird, he's special"" The Daily Express ""Sublime, original, brilliant"" The Independent ""Something of a comic genius"" The Sydney Morning Herald Paul Foot has made numerous television and radio appearances, the most recent of which include ""8 Out of 10 Cats Does Countdown"" Channel 4, ABC Australia's ""Melbourne Gala"", ""Breaking The News"" BBC Radio Scotland and ""Dave News"" for Dave at the 2019 Edinburgh Fringe. In 2019 he also made a triumphant debut at Glastonbury and played the comedy tents of many of the most prestigious summer festivals. Excerpts of his many much-loved appearances on ""Never Mind The Buzzcocks"" have garnered over a million views on YouTube. A BBC New Comedy Award and Daily Telegraph Open Mic winner, he has been nominated twice for the Barry Award at The Melbourne Comedy Festival and has been voted Best of The Fest International and Best International Act at the Sydney and Perth Comedy Festivals respectively. “An exquisite symphony of jubilant madness” The Melbourne Age ""It's risky to call someone unique but Paul Foot is pretty close"" Three Weeks ""A wonderful ear for language and a talent for creating glorious spirals of absurdity out of the simplest of starting points"" The Guardian";
1574457;/events/images/1574457.jpg;Rob Newman: Philosophy Show;2021-10-23T19:30:00+01:00;;Comedy;Standard;13.0;16.0;GBP;17642;Manchester;62835;The Dancehouse;10 Oxford Road;M1 5QA;Manchester;;In this all-new show, multi-award winning stand-up comic Rob Newman weaves together Nietzsche’s sunglasses, James Bond in Toxteth, electric spiders and singing Neanderthals into a hilarious tour-de-force that offers new hopes for a changing world. Rob Newman’s Philosophy Show coincides with the release of his BBC Radio 4 series. ★★★★ ‘Hugely entertaining, gleefully jaunty and refreshingly intelligent… I loved it.’ - The Guardian 2018 ‘He is one amazing comedian’ - Time Out ‘Intellectually charged and adorably ambitious…a delightfully digestible dose of brain food’ - The Times 2018 Winner: Best Scripted Comedy – BBC Audio Drama Awards 2019 Winner: Best Comedy with a live audience – BBC Audio Drama Awards 2017 Please be aware that the Quays Theatre is at the far side of The Lowry’s building. After entering the main doors to the foyer, you should allow time to walk to the Quays Theatre before the show begins, especially if you have mobility difficulties. There are no stairs to negotiate, but there is a long sloping ramp, and wheelchairs are available to borrow if needed. You can familiarise yourself with the building in advance using our virtual tour https://thelowry.com/visit-us/access/;
1613826;/events/images/1613826.jpg;Sarah Millican: Bobby Dazzler;2022-06-24T20:00:00+01:00;;Comedy;Standard;0.0;27.5;GBP;17642;Manchester;50553;O2 Apollo Manchester;Stockport Road Ardwick Green;M12 6AP;Manchester;Sarah Millican muses about throwing poo over a wall, floatation tanks and weight loss via the loss of a fingertip on her sixth international tour.;The hilarious Sarah Millican is back on tour with a Bobby Dazzler of a new stand-up show. In this, her sixth international tour, you’ll learn about what happens when your mouth seals shut, how to throw poo over a wall, trying to lose weight but only losing the tip of your finger, a surprisingly funny smear test, and how truly awful a floatation tank can actually be. Sarah has spent the last year writing jokes and growing her backside. She can’t wait to get back on the road and make you laugh.;
1613826;/events/images/1613826.jpg;Sarah Millican: Bobby Dazzler;2022-06-25T20:00:00+01:00;;Comedy;Standard;0.0;27.5;GBP;17642;Manchester;50553;O2 Apollo Manchester;Stockport Road Ardwick Green;M12 6AP;Manchester;Sarah Millican muses about throwing poo over a wall, floatation tanks and weight loss via the loss of a fingertip on her sixth international tour.;The hilarious Sarah Millican is back on tour with a Bobby Dazzler of a new stand-up show. In this, her sixth international tour, you’ll learn about what happens when your mouth seals shut, how to throw poo over a wall, trying to lose weight but only losing the tip of your finger, a surprisingly funny smear test, and how truly awful a floatation tank can actually be. Sarah has spent the last year writing jokes and growing her backside. She can’t wait to get back on the road and make you laugh.;
84317;/events/images/84317.jpg;ABBA Mania;2021-11-19T19:00:00+00:00;;Music;Standard;22.0;24.0;GBP;20533;Edinburgh;22978;Alhambra Theatre;35 Canmore Street;KY12 7NX;Dunfermline;Celebrating decades of golden hits with a re-creation of the live ABBA show.;It is 40 years since ABBA won Eurovision and now it’s your chance to thank ABBA for the music! ABBA Mania is now accepted as the world’s number one touring ABBA tribute production. Featuring a special concert presentation, which celebrates the music of ABBA in a respectful and enjoyable way, reviving special memories of when ABBA ruled the airwaves. ABBA Mania brings ABBA fans old and new a night not to be missed. If you’re looking for an excuse to party, reminisce or simply be entertained by the best music ever, then ABBA Mania is for you! So dig out those platforms, dust down those flares, join in and enjoy all of your favourites including: Mamma Mia, Voulez Vous, Dancing Queen, Winner Takes It All, Super Trouper and many more.;01383 740384
132431;/events/images/132431.jpg;Jools Holland and His Rhythm & Blues Orchestra;2021-12-18T18:30:00+00:00;;Music;Standard;36.0;44.0;GBP;17642;Manchester;50553;O2 Apollo Manchester;Stockport Road Ardwick Green;M12 6AP;Manchester;Jools and his band play classic boogie woogie and rock'n'roll tunes for your merriment.;We are delighted to announce that the fantastic Jools Holland & his Rhythm & Blues Orchestra are returning to Stonor Park, Henley on Thames on Saturday 14th August 2021. King of boogie-woogie, Jools Holland brings his energy-fueled show to Stonor Park. Jools dazzles audiences across the UK with his Rhythm & Blues Orchestra and their exuberant live performances. The show will feature Gilson Lavis, special guest Eddi Reader, and guest vocalists Ruby Turner and Louise Marshall. A composer, pianist, bandleader and broadcaster, Jools’ passion for music has made him a doyen of the music scene. His phenomenal success has seen him sell millions of records throughout his career, and he was awarded an OBE in 2003 for his services to the British music industry. With his show ‘Later with…Jools Holland’ now in its 54th series, and Jools’ Annual Hootenanny in its 27th, Jools’ name has become synonymous with quality music. Don’t miss out on what will be a truly fabulous night at Stonor Park! “I didn’t think anybody could play like that. Jools has got that left hand that never stops.” BB King Tickets are on sale Friday 4th December 2020 General Admission £39.00 + Booking Fees Terms & Conditions Apply;
140537;/events/images/140537.jpg;Jason Donovan;2021-11-14T20:00:00+00:00;;Music;Standard;39.6;49.5;GBP;20533;Edinburgh;381;Usher Hall;Lothian Road;EH1 2EA;Edinburgh;First came Neighbours, then the West End beckoned, not forgetting an appearance in the celebrity jungle. And now he's singing again, especially for us.;Jason Donovan came into our lives in the late 80s as Scott Robinson in the hit Australian series, Neighbours. Throughout 1988/89 he had several hits and his album Ten Good Reasons was the best-selling album of 1989. His hits included Too Many Broken Hearts, Especially For You (with Kylie Minogue), Any Dream Will Do, Sealed With A Kiss and many more. Since then he has rarely been away from stage or screen. Jason’s record breaking run in Joseph in the early 90s preceded The Rocky Horror Show, Chitty Chitty Bang Bang and Priscilla, among others. Jason performed at Concert For Diana, made the I’m A Celebrity and Strictly Come Dancing finals, found his Australian ancestors on Who Do You Think You Are and in 2018/19, travelled the country, completing 125 shows on his Amazing Midlife Crisis Tour including a sold out week at the Edinburgh Fringe. Jason recently worked on his first theatre producing project, Priscilla Queen of the Desert and spent the summer back at the London Palladium as Pharaoh in the sold out Joseph and his Amazing Technicolor Dreamcoat.;
